lat,lon,school,hospital,clinic,pharmacy,supermarket,bakery,cafe,restaurant,park,transport
41.17239565877018,-8.68056922547272,6,0,10,2,8,1,29,29,277,77
41.17239234646783,-8.679377093493473,4,0,10,1,7,1,23,19,304,74
41.17238902182718,-8.678184961713487,5,0,8,1,6,0,17,7,383,68
41.172385684848216,-8.676992830133505,6,1,8,1,5,0,15,6,515,76
41.17238233553097,-8.675800698754264,6,1,8,1,7,0,14,4,691,81
41.17336922140362,-8.70798431429286,0,0,0,0,0,0,0,0,0,1
41.17330302934017,-8.682949147116107,5,0,12,3,7,1,34,53,226,81
41.17329974161084,-8.681756998411375,4,0,12,3,7,1,36,52,265,83
41.17329644154282,-8.680564849904433,5,0,12,2,7,1,32,40,293,85
41.17329312913607,-8.679372701596023,4,0,11,1,6,1,30,31,307,84
41.17328980439063,-8.678180553486884,4,0,11,1,7,0,24,12,348,84
41.17328646730651,-8.676988405577758,4,1,11,1,7,0,19,7,443,80
41.173283117883685,-8.675796257869386,5,1,9,2,8,0,18,6,581,91
41.17327975612219,-8.674604110362507,5,1,8,2,9,0,18,5,778,94
41.17422328005494,-8.690097798329385,7,0,9,3,6,2,42,72,202,68
41.17422006625672,-8.688905632123486,7,0,12,3,6,2,43,71,209,68
41.17421684011936,-8.68771346611094,6,0,12,3,7,2,41,73,218,76
41.17421360164287,-8.686521300292492,6,0,12,4,9,2,40,70,214,90
41.17421035082727,-8.68532913466888,5,0,14,4,10,1,42,71,225,102
41.174207087672535,-8.684136969240846,7,0,15,3,9,1,42,70,220,101
41.174203812178696,-8.68294480400913,6,0,14,3,9,1,39,62,229,97
41.17420052434576,-8.681752638974473,5,0,13,3,8,1,36,58,256,101
41.17419722417372,-8.680560474137618,5,0,13,3,9,1,34,53,275,102
41.17419391166258,-8.679368309499303,3,0,14,2,9,1,32,38,274,104
41.17419058681236,-8.678176145060268,3,1,13,1,8,0,28,24,286,102
41.17418724962304,-8.676983980821257,4,1,12,1,8,0,27,11,359,97
41.17418390009466,-8.675791816783011,5,1,10,2,7,0,20,9,536,90
41.17418053822721,-8.67459965294627,6,1,9,2,9,0,17,6,697,94
41.1741771640207,-8.673407489311774,6,2,9,2,8,0,17,3,854,102
41.17517380757776,-8.70916849928857,0,0,0,0,0,0,0,0,0,1
41.1751272649253,-8.69128573573881,9,0,10,3,4,4,46,93,191,61
41.17512406336531,-8.690093553009559,9,0,12,3,6,4,49,95,226,71
41.1751208494658,-8.688901370472934,9,0,13,3,6,3,50,95,237,81
41.17511762322677,-8.687709188129672,9,0,14,4,8,3,50,89,246,77
41.17511438464821,-8.686517005980516,9,0,15,4,10,3,54,85,239,91
41.17511113373015,-8.685324824026207,7,0,15,4,10,2,51,79,236,97
41.17510787047257,-8.684132642267487,7,0,15,4,10,1,47,75,236,105
41.17510459487551,-8.682940460705094,6,0,15,3,9,1,44,74,219,107
41.17510130693894,-8.681748279339772,5,0,15,3,10,1,38,64,224,108
41.175098006662886,-8.680556098172259,5,0,15,3,9,1,35,57,251,119
41.17509469404735,-8.679363917203299,4,0,14,3,9,1,30,39,272,108
41.175091369092335,-8.67817173643363,5,1,14,2,9,0,32,27,273,112
41.17508803179785,-8.676979555863994,5,1,12,2,9,0,30,19,307,110
41.17508468216391,-8.675787375495133,5,1,12,2,8,0,25,11,440,108
41.1750813201905,-8.674595195327788,5,2,9,3,9,0,17,9,647,104
41.175077945877646,-8.673403015362698,5,2,9,3,10,0,17,3,769,107
41.17507455922534,-8.672210835600605,6,2,8,2,9,0,19,3,949,132
41.17603123751583,-8.692473705810459,10,0,10,3,4,4,45,105,217,63
41.17602804819486,-8.69128150655784,10,0,15,3,5,5,50,109,236,63
41.17602484653397,-8.69008930749711,10,0,16,3,6,5,54,110,253,77
41.17602163253317,-8.688897108629018,10,0,16,4,7,5,56,112,260,93
41.17601840619246,-8.687704909954297,10,0,17,4,8,5,59,108,268,107
41.17601516751184,-8.686512711473695,9,0,18,4,9,4,63,103,265,109
41.176011916491305,-8.685320513187948,10,0,18,4,10,4,59,94,262,107
41.176008653130886,-8.6841283150978,11,0,18,4,10,3,53,85,256,109
