lat,lon,school,hospital,clinic,pharmacy,supermarket,bakery,cafe,restaurant,park,transport,school_pct,hospital_pct,clinic_pct,pharmacy_pct,supermarket_pct,bakery_pct,cafe_pct,restaurant_pct,park_pct,transport_pct,accessibility_score
41.17239565877018,-8.68056922547272,6,0,10,2,8,1,29,29,277,77,85.59539052496798,45.49455825864276,96.606914212548,81.25800256081946,95.15845070422534,64.7887323943662,95.35051216389245,91.32522407170295,95.39852752880921,62.259923175416134,81.32362355953906
41.17239234646783,-8.679377093493473,4,0,10,1,7,1,23,19,304,74,73.70358514724713,45.49455825864276,96.606914212548,62.788092189500645,92.61363636363636,64.7887323943662,93.2618437900128,86.69974391805377,96.19878361075544,59.042893725992315,77.11987836107554
41.17238902182718,-8.678184961713487,5,0,8,1,6,0,17,7,383,68,80.03361075544174,45.49455825864276,95.69462227912933,62.788092189500645,89.77272727272727,27.26472471190781,90.62900128040972,74.71991037131882,97.7752880921895,52.864916773367476,71.70374519846351
41.172385684848216,-8.676992830133505,6,1,8,1,5,0,15,6,515,76,85.59539052496798,94.15012804097312,95.69462227912933,62.788092189500645,85.72343149807938,27.26472471190781,89.54065300896286,72.08706786171575,99.16773367477593,61.23559539052496,77.32474391805377
41.17238233553097,-8.675800698754264,6,1,8,1,7,0,14,4,691,81,85.59539052496798,94.15012804097312,95.69462227912933,62.788092189500645,92.61363636363636,27.26472471190781,89.02848911651728,63.956466069142124,99.5358514724712,65.85307298335468,77.64804737516006
41.17336922140362,-8.70798431429286,0,0,0,0,0,0,0,0,0,1,14.644686299615877,45.49455825864276,31.594110115236873,23.983674775928296,14.18854033290653,27.26472471190781,12.71606914212548,11.45966709346991,9.290973111395646,0.13604353393085789,19.077304737516005
41.17330302934017,-8.682949147116107,5,0,12,3,7,1,34,53,226,81,80.03361075544174,45.49455825864276,97.5192061459667,87.71606914212549,92.61363636363636,64.7887323943662,96.11875800256082,94.06209987195902,94.20614596670934,65.85307298335468,81.84058898847631
41.17329974161084,-8.681756998411375,4,0,12,3,7,1,36,52,265,83,73.70358514724713,45.49455825864276,97.5192061459667,87.71606914212549,92.61363636363636,64.7887323943662,96.32682458386684,93.87003841229193,95.07842509603073,67.53361075544174,81.46446862996159
41.17329644154282,-8.680564849904433,5,0,12,2,7,1,32,40,293,85,80.03361075544174,45.49455825864276,97.5192061459667,81.25800256081946,92.61363636363636,64.7887323943662,95.87868117797696,93.14180537772087,95.80665813060179,69.07810499359796,81.56129961587709
41.17329312913607,-8.679372701596023,4,0,11,1,6,1,30,31,307,84,73.70358514724713,45.49455825864276,97.04705505761844,62.788092189500645,89.77272727272727,64.7887323943662,95.52656850192062,91.949423815621,96.26280409731113,68.3018565941101,78.56354033290653
