place_name,lat,lon,sun_04,sun_05,sun_06,sun_07,sun_08,sun_09,sun_10,sun_11,sun_12,sun_13,sun_14,sun_15,sun_16,sun_17,sun_18,sun_19,sun_20,sun_21,sun_22,sun_23,sun_00,sun_01,sun_02,sun_03,mon_04,mon_05,mon_06,mon_07,mon_08,mon_09,mon_10,mon_11,mon_12,mon_13,mon_14,mon_15,mon_16,mon_17,mon_18,mon_19,mon_20,mon_21,mon_22,mon_23,mon_00,mon_01,mon_02,mon_03,tue_04,tue_05,tue_06,tue_07,tue_08,tue_09,tue_10,tue_11,tue_12,tue_13,tue_14,tue_15,tue_16,tue_17,tue_18,tue_19,tue_20,tue_21,tue_22,tue_23,tue_00,tue_01,tue_02,tue_03,wed_04,wed_05,wed_06,wed_07,wed_08,wed_09,wed_10,wed_11,wed_12,wed_13,wed_14,wed_15,wed_16,wed_17,wed_18,wed_19,wed_20,wed_21,wed_22,wed_23,wed_00,wed_01,wed_02,wed_03,thu_04,thu_05,thu_06,thu_07,thu_08,thu_09,thu_10,thu_11,thu_12,thu_13,thu_14,thu_15,thu_16,thu_17,thu_18,thu_19,thu_20,thu_21,thu_22,thu_23,thu_00,thu_01,thu_02,thu_03,fri_04,fri_05,fri_06,fri_07,fri_08,fri_09,fri_10,fri_11,fri_12,fri_13,fri_14,fri_15,fri_16,fri_17,fri_18,fri_19,fri_20,fri_21,fri_22,fri_23,fri_00,fri_01,fri_02,fri_03,sat_04,sat_05,sat_06,sat_07,sat_08,sat_09,sat_10,sat_11,sat_12,sat_13,sat_14,sat_15,sat_16,sat_17,sat_18,sat_19,sat_20,sat_21,sat_22,sat_23,sat_00,sat_01,sat_02,sat_03
Lavra (Junta de Freguesia),41.259414148452464,-8.71757765399509,26.0,20.0,13.0,13.0,13.0,13.0,20.0,20.0,6.0,13.0,26.0,26.0,33.0,33.0,33.0,26.0,20.0,20.0,33.0,46.0,46.0,46.0,13.0,13.0,26.0,33.0,40.0,33.0,40.0,40.0,46.0,33.0,53.0,53.0,46.0,33.0,26.0,53.0,53.0,73.0,80.0,86.0,46.0,46.0,40.0,66.0,66.0,26.0,26.0,46.0,66.0,73.0,73.0,53.0,33.0,20.0,20.0,33.0,53.0,53.0,60.0,46.0,33.0,20.0,6.0,6.0,26.0,46.0,46.0,26.0,26.0,26.0,20.0,26.0,40.0,53.0,53.0,33.0,13.0,0.0,20.0,40.0,60.0,53.0,60.0,60.0,46.0,33.0,40.0,40.0,33.0,46.0,66.0,53.0,26.0,20.0,20.0,6.0,6.0,20.0,20.0,33.0,46.0,33.0,20.0,13.0,13.0,13.0,33.0,53.0,66.0,46.0,20.0,13.0,33.0,60.0,66.0,73.0,40.0,40.0,46.0,26.0,13.0,0.0,6.0,26.0,40.0,40.0,33.0,40.0,26.0,6.0,0.0,6.0,26.0,33.0,40.0,33.0,40.0,26.0,40.0,73.0,60.0,46.0,40.0,20.0,46.0,53.0,53.0,46.0,33.0,26.0,20.0,13.0,13.0,6.0,6.0,6.0,20.0,33.0,40.0,46.0,60.0,100.0,100.0,60.0,66.0,53.0
Mar Shopping (IKEA),41.20949256013632,-8.689778753499244,26.0,20.0,26.0,26.0,33.0,20.0,26.0,40.0,66.0,33.0,20.0,13.0,60.0,73.0,100.0,60.0,53.0,33.0,26.0,26.0,13.0,6.0,13.0,20.0,40.0,40.0,33.0,40.0,40.0,40.0,33.0,46.0,40.0,33.0,26.0,20.0,6.0,20.0,33.0,53.0,66.0,66.0,60.0,53.0,40.0,46.0,40.0,40.0,26.0,26.0,40.0,53.0,60.0,33.0,33.0,46.0,60.0,53.0,46.0,26.0,13.0,13.0,20.0,33.0,53.0,73.0,53.0,53.0,60.0,33.0,20.0,13.0,46.0,40.0,46.0,33.0,20.0,6.0,6.0,13.0,40.0,60.0,73.0,66.0,60.0,33.0,33.0,20.0,33.0,46.0,46.0,46.0,53.0,60.0,46.0,40.0,66.0,46.0,53.0,26.0,53.0,53.0,80.0,66.0,80.0,53.0,53.0,60.0,80.0,60.0,46.0,40.0,40.0,40.0,40.0,46.0,66.0,66.0,73.0,73.0,93.0,60.0,46.0,20.0,26.0,20.0,33.0,33.0,33.0,26.0,40.0,40.0,53.0,66.0,73.0,93.0,86.0,66.0,26.0,13.0,6.0,26.0,53.0,80.0,40.0,46.0,46.0,26.0,26.0,33.0,33.0,40.0,33.0,20.0,20.0,40.0,60.0,53.0,33.0,33.0,46.0,40.0,53.0,73.0,80.0,66.0,33.0,33.0
Mar Shopping (Nascente),41.20825388354124,-8.685869496284287,31.0,12.0,6.0,18.0,25.0,25.0,18.0,12.0,18.0,31.0,31.0,31.0,18.0,18.0,25.0,31.0,25.0,37.0,56.0,100.0,87.0,81.0,75.0,50.0,25.0,18.0,12.0,25.0,31.0,56.0,68.0,56.0,50.0,37.0,43.0,25.0,18.0,12.0,0.0,12.0,18.0,31.0,31.0,31.0,31.0,25.0,18.0,18.0,12.0,25.0,18.0,25.0,31.0,18.0,31.0,43.0,43.0,43.0,37.0,31.0,12.0,12.0,18.0,31.0,25.0,12.0,12.0,12.0,18.0,12.0,12.0,6.0,31.0,50.0,31.0,31.0,31.0,37.0,37.0,31.0,43.0,37.0,43.0,25.0,25.0,31.0,62.0,68.0,56.0,56.0,68.0,50.0,31.0,37.0,25.0,31.0,68.0,56.0,37.0,31.0,56.0,50.0,43.0,43.0,62.0,50.0,62.0,68.0,75.0,68.0,43.0,31.0,50.0,75.0,75.0,50.0,37.0,50.0,68.0,87.0,18.0,18.0,31.0,56.0,62.0,37.0,37.0,62.0,56.0,43.0,50.0,56.0,62.0,37.0,43.0,31.0,31.0,18.0,18.0,37.0,62.0,62.0,37.0,37.0,37.0,43.0,56.0,37.0,43.0,50.0,43.0,50.0,37.0,31.0,18.0,25.0,18.0,25.0,31.0,37.0,37.0,56.0,43.0,56.0,50.0,50.0,50.0,37.0
Praia de Leça,41.18931160879482,-8.70436833688816,17.0,17.0,41.0,35.0,29.0,29.0,17.0,17.0,29.0,35.0,41.0,41.0,58.0,64.0,70.0,52.0,35.0,35.0,35.0,52.0,52.0,58.0,52.0,29.0,52.0,58.0,70.0,64.0,70.0,52.0,70.0,70.0,64.0,58.0,64.0,47.0,41.0,41.0,35.0,41.0,35.0,41.0,47.0,35.0,23.0,35.0,35.0,52.0,47.0,58.0,41.0,23.0,29.0,17.0,29.0,23.0,35.0,35.0,35.0,47.0,35.0,47.0,58.0,47.0,41.0,52.0,47.0,64.0,35.0,23.0,11.0,35.0,41.0,35.0,29.0,29.0,35.0,47.0,52.0,41.0,35.0,35.0,47.0,41.0,47.0,47.0,23.0,11.0,23.0,29.0,41.0,41.0,52.0,47.0,47.0,35.0,23.0,17.0,11.0,11.0,35.0,35.0,47.0,35.0,41.0,41.0,41.0,35.0,41.0,29.0,41.0,29.0,29.0,29.0,23.0,29.0,52.0,52.0,29.0,23.0,17.0,29.0,41.0,35.0,35.0,17.0,29.0,17.0,5.0,11.0,23.0,52.0,70.0,88.0,100.0,82.0,70.0,76.0,88.0,58.0,23.0,5.0,5.0,11.0,35.0,35.0,47.0,35.0,29.0,52.0,47.0,35.0,17.0,17.0,41.0,41.0,29.0,23.0,29.0,47.0,58.0,76.0,76.0,70.0,52.0,47.0,41.0,47.0
Praia de Leça,41.18959330718378,-8.704813009170195,40.0,40.0,30.0,35.0,30.0,40.0,45.0,45.0,40.0,25.0,35.0,35.0,35.0,20.0,15.0,20.0,30.0,40.0,55.0,65.0,60.0,50.0,45.0,35.0,35.0,35.0,30.0,40.0,35.0,40.0,55.0,60.0,95.0,70.0,85.0,65.0,75.0,65.0,60.0,45.0,30.0,35.0,30.0,45.0,50.0,80.0,70.0,65.0,45.0,60.0,35.0,50.0,50.0,50.0,50.0,45.0,60.0,55.0,45.0,30.0,40.0,35.0,55.0,40.0,65.0,45.0,50.0,35.0,30.0,35.0,35.0,70.0,45.0,45.0,50.0,75.0,100.0,95.0,95.0,65.0,65.0,35.0,35.0,30.0,40.0,40.0,45.0,45.0,45.0,40.0,35.0,30.0,25.0,25.0,35.0,50.0,45.0,45.0,50.0,30.0,35.0,40.0,50.0,45.0,50.0,20.0,15.0,25.0,35.0,55.0,60.0,65.0,50.0,55.0,45.0,50.0,65.0,70.0,50.0,40.0,20.0,35.0,25.0,40.0,45.0,60.0,65.0,85.0,65.0,35.0,20.0,20.0,25.0,35.0,35.0,20.0,30.0,30.0,40.0,35.0,35.0,30.0,20.0,20.0,25.0,35.0,25.0,35.0,40.0,60.0,55.0,45.0,35.0,30.0,30.0,50.0,40.0,50.0,30.0,30.0,15.0,15.0,25.0,25.0,25.0,20.0,20.0,20.0
Real,41.17607728010376,-8.670737875997075,15.0,15.0,20.0,29.0,35.0,38.0,34.0,34.0,32.0,35.0,37.0,44.0,43.0,43.0,37.0,34.0,39.0,48.0,54.0,52.0,41.0,29.0,21.0,16.0,47.0,58.0,56.0,47.0,41.0,44.0,51.0,60.0,70.0,83.0,92.0,80.0,64.0,56.0,64.0,76.0,87.0,78.0,74.0,63.0,48.0,36.0,30.0,36.0,52.0,56.0,49.0,39.0,37.0,48.0,64.0,80.0,89.0,94.0,92.0,81.0,69.0,60.0,66.0,76.0,94.0,93.0,87.0,75.0,48.0,35.0,29.0,40.0,52.0,63.0,58.0,47.0,41.0,48.0,62.0,79.0,89.0,100.0,97.0,82.0,62.0,52.0,56.0,75.0,92.0,96.0,92.0,75.0,49.0,38.0,33.0,42.0,48.0,53.0,50.0,45.0,42.0,46.0,56.0,70.0,85.0,88.0,82.0,71.0,60.0,53.0,53.0,62.0,74.0,86.0,85.0,73.0,47.0,35.0,33.0,44.0,48.0,57.0,55.0,44.0,37.0,42.0,51.0,67.0,79.0,82.0,74.0,64.0,56.0,52.0,52.0,57.0,67.0,75.0,77.0,64.0,44.0,31.0,27.0,36.0,18.0,19.0,21.0,28.0,29.0,24.0,23.0,30.0,43.0,52.0,50.0,49.0,45.0,37.0,31.0,31.0,41.0,57.0,64.0,61.0,42.0,31.0,21.0,18.0
Quatro Caminhos,41.18947608404916,-8.651686837516012,14.0,14.0,12.0,12.0,8.0,16.0,18.0,29.0,27.0,31.0,41.0,47.0,45.0,47.0,37.0,39.0,45.0,41.0,25.0,16.0,14.0,16.0,18.0,16.0,16.0,27.0,33.0,43.0,35.0,31.0,25.0,27.0,37.0,45.0,43.0,43.0,52.0,66.0,77.0,72.0,52.0,35.0,22.0,27.0,20.0,12.0,6.0,8.0,8.0,12.0,14.0,22.0,27.0,35.0,33.0,35.0,33.0,33.0,27.0,45.0,68.0,97.0,100.0,75.0,56.0,37.0,37.0,33.0,29.0,14.0,8.0,6.0,10.0,20.0,39.0,35.0,35.0,33.0,35.0,25.0,35.0,39.0,41.0,37.0,47.0,79.0,81.0,95.0,75.0,75.0,64.0,47.0,25.0,16.0,14.0,6.0,8.0,14.0,33.0,50.0,47.0,37.0,18.0,20.0,22.0,27.0,27.0,45.0,60.0,79.0,79.0,70.0,37.0,25.0,25.0,33.0,18.0,8.0,2.0,4.0,29.0,35.0,37.0,43.0,35.0,31.0,25.0,29.0,22.0,31.0,27.0,39.0,45.0,75.0,70.0,60.0,45.0,29.0,29.0,22.0,14.0,8.0,14.0,20.0,16.0,22.0,25.0,27.0,22.0,22.0,27.0,27.0,29.0,31.0,41.0,45.0,43.0,45.0,35.0,37.0,37.0,35.0,35.0,31.0,27.0,25.0,18.0,14.0
Quatro Caminhos,41.18971495299817,-8.651682133082357,10.0,10.0,13.0,13.0,18.0,21.0,26.0,34.0,50.0,47.0,52.0,50.0,60.0,57.0,57.0,60.0,57.0,68.0,52.0,42.0,23.0,7.0,2.0,7.0,10.0,23.0,28.0,34.0,23.0,21.0,13.0,21.0,31.0,47.0,44.0,57.0,57.0,71.0,57.0,55.0,52.0,65.0,60.0,50.0,31.0,21.0,13.0,7.0,5.0,7.0,13.0,15.0,26.0,26.0,28.0,28.0,28.0,34.0,42.0,52.0,52.0,71.0,81.0,76.0,68.0,63.0,55.0,47.0,44.0,36.0,23.0,10.0,15.0,10.0,10.0,10.0,13.0,15.0,18.0,31.0,47.0,57.0,52.0,52.0,60.0,86.0,100.0,94.0,71.0,63.0,55.0,52.0,42.0,23.0,13.0,13.0,10.0,10.0,7.0,15.0,21.0,21.0,21.0,28.0,47.0,52.0,47.0,36.0,34.0,42.0,52.0,50.0,50.0,42.0,39.0,31.0,26.0,26.0,21.0,10.0,39.0,47.0,36.0,26.0,23.0,18.0,28.0,23.0,28.0,21.0,28.0,34.0,47.0,52.0,55.0,55.0,50.0,42.0,31.0,28.0,18.0,21.0,26.0,31.0,21.0,23.0,18.0,21.0,18.0,15.0,18.0,21.0,21.0,26.0,21.0,23.0,23.0,39.0,52.0,47.0,36.0,28.0,21.0,13.0,7.0,7.0,13.0,21.0
Godinho Faria,41.193130838383176,-8.611981561413112,17.0,25.0,32.0,28.0,25.0,21.0,21.0,21.0,32.0,39.0,46.0,46.0,50.0,46.0,60.0,53.0,57.0,57.0,50.0,39.0,28.0,32.0,25.0,21.0,39.0,32.0,53.0,67.0,60.0,50.0,53.0,64.0,67.0,75.0,85.0,67.0,67.0,75.0,78.0,78.0,67.0,57.0,39.0,32.0,28.0,28.0,32.0,28.0,21.0,32.0,42.0,60.0,53.0,32.0,32.0,42.0,60.0,57.0,50.0,53.0,46.0,57.0,39.0,39.0,28.0,46.0,46.0,50.0,28.0,17.0,10.0,17.0,14.0,25.0,25.0,39.0,39.0,46.0,53.0,42.0,39.0,28.0,32.0,50.0,50.0,53.0,57.0,50.0,46.0,35.0,35.0,39.0,32.0,42.0,35.0,21.0,21.0,35.0,50.0,50.0,32.0,28.0,32.0,42.0,35.0,35.0,28.0,42.0,53.0,64.0,64.0,46.0,28.0,25.0,28.0,32.0,28.0,21.0,14.0,17.0,25.0,14.0,14.0,21.0,35.0,39.0,39.0,35.0,32.0,32.0,46.0,53.0,75.0,100.0,96.0,96.0,78.0,82.0,71.0,57.0,42.0,35.0,35.0,32.0,21.0,28.0,28.0,21.0,21.0,25.0,39.0,53.0,75.0,71.0,64.0,42.0,28.0,28.0,35.0,39.0,46.0,67.0,60.0,67.0,71.0,64.0,39.0,32.0
Santos Dias,41.198226150347054,-8.607160755923095,34.0,42.0,61.0,53.0,50.0,26.0,15.0,19.0,34.0,57.0,57.0,50.0,46.0,46.0,42.0,50.0,65.0,88.0,92.0,92.0,53.0,38.0,26.0,30.0,34.0,34.0,42.0,38.0,34.0,30.0,23.0,15.0,15.0,19.0,23.0,30.0,30.0,42.0,46.0,61.0,65.0,76.0,80.0,84.0,65.0,53.0,42.0,38.0,19.0,30.0,46.0,61.0,42.0,26.0,15.0,19.0,15.0,30.0,34.0,46.0,57.0,61.0,73.0,73.0,61.0,73.0,84.0,84.0,57.0,42.0,34.0,30.0,53.0,53.0,80.0,65.0,57.0,38.0,23.0,11.0,3.0,7.0,3.0,0.0,7.0,19.0,38.0,69.0,80.0,88.0,65.0,69.0,42.0,38.0,34.0,38.0,34.0,26.0,38.0,26.0,26.0,15.0,30.0,30.0,38.0,38.0,57.0,61.0,65.0,57.0,65.0,65.0,80.0,88.0,80.0,69.0,46.0,38.0,30.0,30.0,30.0,23.0,26.0,26.0,42.0,42.0,42.0,38.0,23.0,15.0,15.0,3.0,7.0,23.0,38.0,50.0,76.0,73.0,69.0,50.0,34.0,34.0,42.0,34.0,19.0,19.0,11.0,11.0,19.0,23.0,19.0,19.0,34.0,34.0,30.0,23.0,15.0,26.0,53.0,69.0,100.0,84.0,88.0,84.0,46.0,23.0,19.0,15.0
