folder_name,type,latitude,longitude,n_images,selected_image_filename,selection_confidence,selection_reason,recommendation_pt,accessibility_for_people_with_disabilities_pct,pedestrian_safety_and_proximity_to_traffic_pct,weather_protection_and_overall_comfort_pct,final_quality_pct,accessibility_for_people_with_disabilities_notes,area_accessibility_description,cleanliness_and_maintenance_issues,lighting_and_visibility_issues,pedestrian_safety_and_proximity_to_traffic_notes,poi_description,shelter_and_seating_issues,weather_protection_and_overall_comfort_notes
bus_41.171801_-8.677638,bus,41.171801,-8.677638,4,41.171801_-8.677638_348_street.png,0.98,"Image 3 clearly shows a public transport stop shelter with a sign and timetable, making it the most definitive depiction of the access point among the options.",Instalar/assegurar painéis laterais transparentes para melhor proteção contra vento e chuva. Melhorar a acessibilidade com rampas ou pavimento tátil se necessário. Priorizar instalação de iluminação pública próxima da paragem para aumentar a segurança noturna. Manter e limpar regularmente para evitar acumulação de grafitis e preservar o ambiente agradável.,85.70811744386873,91.79620034542314,72.9706390328152,83.49165227403569,,,,,,,,
bus_41.172668_-8.681464,bus,41.172668,-8.681464,4,41.172668_-8.681464_031_street.png,1.0,"This image clearly shows a public transport stop with a shelter, bench, and signage, making it the most definitive depiction of the access point among the options.","Adicionar ou melhorar a iluminação pública na zona do abrigo, preferencialmente uma luminária incorporada no próprio abrigo para melhorar a visibilidade à noite. Instalar painel lateral adicional para aumentar proteção contra vento e chuva. Considerar substituir o banco simples por um banco com encosto e espaço reservado para cadeiras de rodas. Implementar pavimento tátil direcional para melhorar a acessibilidade para pessoas com deficiência visual.",94.38687392055267,98.40241796200344,86.96027633851469,93.24985607369028,,,,,,,,
bus_41.173206_-8.689045,bus,41.173206,-8.689045,4,41.173206_-8.689045_333_street.png,0.95,"Image [3] clearly shows a public transport stop shelter on the left side of the road, making it the best depiction of the access point among the options.","Adicionar rampas de acesso e piso tátil para melhorar acessibilidade. Instalar ou reforçar painéis laterais de abrigo para maior proteção contra vento e chuva, especialmente em zona costeira. Adicionar iluminação dedicada dentro da paragem para maior segurança noturna. Considerar aumento da largura do passeio e colocação de barreira física (ex: gradeamento baixo) entre paragem e faixa de rodagem para maior proteção dos peões.",56.95164075993091,56.69257340241797,86.96027633851469,66.86816350028785,,,,,,,,
bus_41.173626_-8.673512,bus,41.173626,-8.673512,4,41.173626_-8.673512_313_street.png,1.0,"Image 3 clearly shows the public transport stop, including the shelter, sign with the stop name, and timetable information, making it the best depiction of the access point.","Rebaixar o passeio e instalar rampa para melhorar a acessibilidade a pessoas com mobilidade reduzida. Adicionar painéis laterais transparentes ao abrigo para melhor proteção contra vento e chuva. Instalar iluminação pública nas imediações e iluminação específica dentro do abrigo para aumentar a segurança noturna. Melhorar a manutenção e limpeza regular do abrigo e zona envolvente, incluindo remoção de grafitis. Avaliar a possibilidade de instalar barreiras de proteção entre passeio e faixa de rodagem para aumentar a segurança dos peões.",36.26943005181347,33.54922279792746,61.61485319516407,43.811168681635,,,,,,,,
bus_41.173730_-8.685472,bus,41.17373,-8.685472,4,41.173730_-8.685472_354_street.png,0.95,"Image 3 clearly shows the public transport stop with a shelter, signage, and part of the stop's name visible, making it the best depiction of the access point.","Reparar o passeio na área da paragem para garantir acessibilidade plena, incluindo criação de rebaixamento e pavimento tátil. Adicionar ou substituir painéis laterais transparentes no abrigo para melhorar a proteção contra as intempéries. Instalar iluminação dedicada no interior do abrigo para maior segurança noturna. Instalar banco ou assento confortável. Melhorar a limpeza e a manutenção das imediações da paragem.",36.26943005181347,33.54922279792746,72.9706390328152,47.59643062751872,,,,,,,,
bus_41.173829_-8.688951,bus,41.173829,-8.688951,4,41.173829_-8.688951_343_street.png,0.98,"Image [3] clearly shows a public transport stop shelter with signage and seating, making it the most definitive depiction of a public transport access point among the options.",Instalar bancos apropriados no abrigo para conforto dos passageiros. Adicionar painéis laterais transparentes em vidro/policarbonato para proteção contra vento e chuva. Melhorar o acesso com rebaixo de lancil e/ou criação de rampa acessível. Avaliar a instalação de iluminação dedicada sob o abrigo para maior segurança e visibilidade à noite.,56.95164075993091,56.69257340241797,55.09499136442142,56.246401842256766,,,,,,,,
bus_41.173850_-8.688560,bus,41.17385,-8.68856,4,41.173850_-8.688560_044_street.png,1.0,"This image clearly shows a public transport stop with a shelter, bench, and signage, making it the most definitive depiction of the access point among the options.","Adicionar ou reforçar painéis laterais transparentes no abrigo para melhor proteção contra vento e chuva. Instalar iluminação dedicada dentro do abrigo para aumentar a segurança e conforto à noite. Sinalizar ou instalar pavimento tátil para pessoas com deficiência visual. Considerar aumentar o número de bancos ou espaço para sentar, se houver grande afluência.",94.38687392055267,98.40241796200344,86.96027633851469,93.24985607369028,,,,,,,,
bus_41.173886_-8.674962,bus,41.173886,-8.674962,4,41.173886_-8.674962_272_street.png,0.6,"Image 3 shows a pole with a sign near the crosswalk, which is a common indicator of a public transport stop. The other images do not show any clear public transport stop or access point.","Instalar abrigo de autocarro com painéis laterais em vidro ou policarbonato para proteção contra o vento e a chuva. Adicionar bancos para espera confortável. Melhorar a acessibilidade com rampas/corte de lancil e, se possível, adicionar pavimento tátil. Instalar iluminação dedicada no abrigo para maior segurança à noite.",85.70811744386873,77.46113989637306,55.09499136442142,72.75474956822107,,,,,,,,
bus_41.173967_-8.680623,bus,41.173967,-8.680623,4,41.173967_-8.680623_084_street.png,0.7,"Image 0 shows a pole with a sign on the sidewalk, which is likely a public transport stop sign. The other images do not clearly show any public transport stop or access point.",Instalar abrigo com proteção lateral e assentos; garantir rebaixo de passeio para acessibilidade a pessoas com mobilidade reduzida; melhorar a sinalização e fiscalização para evitar estacionamento indevido na zona de paragem; estudar necessidade de iluminação pública adequada junto ao ponto.,36.26943005181347,33.54922279792746,29.10189982728843,32.97351755900979,,,,,,,,
bus_41.174117_-8.675294,bus,41.174117,-8.675294,4,41.174117_-8.675294_075_street.png,1.0,"This image clearly shows a public transport stop with a shelter, a bench, a bus stop pole/sign, and related infrastructure, making it the most definitive depiction of the access point.",Adicionar iluminação dedicada no interior ou debaixo do abrigo para maior segurança e conforto durante a noite. Considerar a instalação de sinalização tátil no passeio para melhorar a acessibilidade a pessoas com deficiência visual. Avaliar reforço de proteção lateral contra vento para maior conforto climático.,94.38687392055267,98.40241796200344,96.45941278065632,96.41623488773747,,,,,,,,
bus_41.175203_-8.672447,bus,41.175203,-8.672447,4,41.175203_-8.672447_224_street.png,0.4,"None of the images clearly show a public transport stop or access point. Image 2 is the best candidate as it shows a street view with a pole that could potentially be a bus stop sign, but there is no clear signage visible.",Instalar abrigo com painéis laterais transparentes para proteção contra vento e chuva; adicionar bancos; implementar pavimento tátil e melhorar acessibilidade para pessoas com mobilidade reduzida; reforçar iluminação direcionada ao local de espera do transporte público.,85.70811744386873,91.79620034542314,47.75474956822107,75.08635578583765,,,,,,,,
bus_41.175210_-8.672328,bus,41.17521,-8.672328,4,41.175210_-8.672328_044_street.png,0.4,"Image 0 shows a blue sign with a 'P' (parking) which could be mistaken for a public transport sign, but none of the images clearly show a public transport stop or access point. This is the best available candidate as it at least shows a signpost, though it is not definitive.",Instalar abrigo de paragem com bancos e painéis laterais para proteção contra o tempo. Garantir rampa de acesso rebaixado e pavimento tátil para facilitar a acessibilidade a pessoas com mobilidade reduzida. Considerar faixa de peões próxima para maior segurança. Acrescentar iluminação dedicada na paragem para maior visibilidade à noite.,85.70811744386873,91.79620034542314,47.75474956822107,75.08635578583765,,,,,,,,
bus_41.175279_-8.674429,bus,41.175279,-8.674429,4,41.175279_-8.674429_250_street.png,1.0,"Image 2 clearly shows a public transport stop pole with signage and a trash bin, making it the only image that directly depicts the access point.",Colocar abrigo com painel lateral de proteção contra vento e chuva. Instalar banco para maior conforto dos utentes. Adicionar rampa de acesso e pavimento tátil para garantir acessibilidade universal. Melhorar iluminação diretamente sobre a paragem para maior segurança e visibilidade noturna. Considerar instalação de barreira física baixa entre passeio e estrada para maior proteção dos peões.,56.95164075993091,56.69257340241797,47.75474956822107,53.79965457685665,,,,,,,,
bus_41.175488_-8.674487,bus,41.175488,-8.674487,4,41.175488_-8.674487_172_street.png,0.8,"Image 1 shows a blue pole on the opposite side of the street, which is likely a bus stop sign or public transport marker. The other images do not show any clear public transport stop or access point.",Instalar um abrigo com painéis laterais de proteção e bancos. Construir ou melhorar passeio acessível com rampa e piso tátil. Implementar passadeira próxima para maior segurança dos peões. Adicionar iluminação pública e/ou iluminação dedicada à paragem. Assegurar manutenção regular da área envolvente.,15.67357512953368,14.248704663212436,29.10189982728843,19.67472654001152,,,,,,,,
bus_41.176105_-8.670699,bus,41.176105,-8.670699,4,41.176105_-8.670699_230_street.png,1.0,"Image [2] clearly shows a public transport stop with a shelter and people waiting, making it the best depiction of the access point.","Adicionar iluminação dedicada dentro ou sob o abrigo para melhorar a visibilidade e segurança à noite. Instalar ou reparar painéis laterais de vidro/policarbonato para proteger melhor contra vento e chuva, certificando-se de que possuem marcações visuais para segurança. Considerar a colocação de uma barreira ou balizadores entre o abrigo e a via para maior proteção dos passageiros em espera. Verificar e, se necessário, melhorar a acessibilidade com pavimento tátil e melhoria das rampas ou dos passeios ao redor do ponto.",60.0,60.0,70.0,63.333333333333336,"Sidewalk appears continuous and reasonably wide. There is a clear curb cut near the crosswalk, but tactile paving is not clearly visible. Step-free access to the shelter is present. Condition of sidewalk/pavement and exact gradient not fully visible.","Area has broad sidewalks and marked pedestrian crossings, suggesting reasonable access; presence of trees and some commercial/institutional activity nearby hints at a moderately central location.",Shelter and surrounding area appear mostly clean and in good condition. No visible litter or vandalism.,"Streetlight pole is visible near the crosswalk, providing public lighting in the vicinity. However, there is no dedicated lighting clearly visible inside or immediately under the shelter, which may affect comfort and safety at night.","Bus stop is directly adjacent to the roadway with no buffer or protective barrier from traffic. There is a crosswalk nearby for pedestrian access. No speed-calming measures or protective railings visible, which presents some safety risks.",Large buildings and commercial or institutional facilities visible nearby; possibly offices or public services. No shops or cafés immediately adjacent but may be present further along the street.,Shelter appears clean and provides seating with partial lateral panels; may have limited capacity and weather protection for multiple users.,"Shelter has a roof and what appear to be full or partial glass side panels offering some wind/rain protection. There is a bench for seating, but capacity may be limited. Shelter coverage is decent, but exposure to road and weather from the open side remains."
bus_41.176219_-8.689033,bus,41.176219,-8.689033,4,41.176219_-8.689033_084_street.png,1.0,"This image clearly shows a public transport stop with a shelter, seating, route information, and a bus stop pole, making it the most definitive depiction of the access point.","1. Instalar ou melhorar painéis laterais de proteção contra vento e chuva em ambas as extremidades do abrigo, utilizando vidro ou policarbonato transparente com marcações visíveis. 2. Garantir acessibilidade plena instalando rampas suaves e piso tátil junto à paragem e ao acesso ao abrigo. 3. Avaliar e, se necessário, instalar iluminação pública próxima da paragem e/ou luz sob o abrigo para aumentar a segurança e visibilidade noturna. 4. Sinalizar ou criar passadeira nas imediações para melhorar a segurança pedonal no acesso à paragem.",85.70811744386873,91.79620034542314,86.96027633851469,88.15486470926885,,,,,,,,
bus_41.176705_-8.686774,bus,41.176705,-8.686774,4,41.176705_-8.686774_174_street.png,0.98,"Image [1] clearly shows a blue public transport stop pole/sign on the sidewalk, which is a clear indicator of a public transport access point. The other images do not show any obvious stop or access point.",Instalar um abrigo com cobertura e painéis laterais transparentes para proteção contra vento e chuva. Adicionar bancos ou assentos acessíveis. Sinalizar e melhorar acessos rebaixados para utilizadores com mobilidade reduzida. Implementar iluminação dedicada no abrigo para reforçar a visibilidade. Considerar marcação de passadeira próxima para maior segurança pedonal.,85.70811744386873,56.69257340241797,29.10189982728843,57.167530224525045,,,,,,,,
bus_41.176713_-8.672645,bus,41.176713,-8.672645,4,41.176713_-8.672645_226_street.png,1.0,"Image 2 clearly shows a public transport stop pole with signage and a timetable, making it the best depiction of the access point.",Instalar abrigo com painéis laterais e cobertura para proteção contra intempéries; colocar bancos para maior conforto dos utentes. Adicionar iluminação dedicada no abrigo para reforçar a segurança e visibilidade noturna. Melhorar acessibilidade com pavimento tátil e rampas onde necessário.,85.70811744386873,98.40241796200344,29.10189982728843,71.07081174438687,,,,,,,,
bus_41.176910_-8.672730,bus,41.17691,-8.67273,4,41.176910_-8.672730_138_street.png,0.5,"Image 1 shows a street view with a possible bus stop sign visible in the distance near the center of the image, while the other images do not show any clear public transport stop or access point.","Instalar um abrigo de paragem com painéis laterais transparentes e bancos para proteção do tempo e conforto. Garantir acesso acessível com rampa suave e, se possível, pavimento tátil no acesso à paragem. Melhorar a iluminação direta no ponto de paragem para maior segurança noturna. Considerar a implementação de uma passagem de peões próxima para reforçar a segurança dos utentes.",56.95164075993091,77.46113989637306,47.75474956822107,60.72251007484167,,,,,,,,
bus_41.177006_-8.682979,bus,41.177006,-8.682979,4,41.177006_-8.682979_173_street.png,0.98,"Image [1] clearly shows a blue public transport stop pole/sign on the sidewalk, which is a clear indicator of a public transport access point. The other images do not show a stop or access point as clearly.","Instalar um abrigo com painéis laterais em vidro ou policarbonato e bancos para conforto dos passageiros. Garantir a existência de rampas ou rebaixamentos no passeio e sinalização tátil para acessibilidade. Implementar ou melhorar a iluminação pública junto à paragem, bem como luz no próprio abrigo. Criar ou melhorar passadeira próxima para facilitar a travessia em segurança.",56.95164075993091,56.69257340241797,29.10189982728843,47.58203799654577,,,,,,,,
bus_41.177014_-8.690112,bus,41.177014,-8.690112,4,41.177014_-8.690112_174_street.png,0.85,"Image [1] shows a bus stop pole/sign on the right side of the street, which is a clear indicator of a public transport access point. The other images do not show any obvious public transport stop features.",Instalar abrigo com painéis laterais transparentes e assentos para maior conforto dos utilizadores. Garantir acessibilidade com rampa e pavimento tátil junto à paragem. Melhorar a iluminação direta na paragem para maior segurança noturna. Sinalizar uma passadeira nas proximidades para facilitar e proteger o atravessamento pedonal.,85.70811744386873,56.69257340241797,55.09499136442142,65.83189407023603,,,,,,,,
bus_41.177087_-8.660667,bus,41.177087,-8.660667,4,41.177087_-8.660667_349_street.png,0.98,"Image [3] clearly shows a public transport stop shelter with signage, a bench, and a timetable, making it the most definitive depiction of the access point among the options.",Melhorar a acessibilidade com rebaixamento de passeios e instalar piso tátil para invisuais. Instalar ou reparar painéis laterais em ambos os lados do abrigo para maior proteção contra chuva e vento. Implementar iluminação dedicada no interior do abrigo para maior segurança à noite. Avaliar possibilidade de instalar barreiras baixas entre passeio e estrada para maior proteção dos peões.,73.18652849740933,77.46113989637306,86.96027633851469,79.20264824409902,,,,,,,,
bus_41.177144_-8.660687,bus,41.177144,-8.660687,4,41.177144_-8.660687_349_street.png,0.98,"Image 3 clearly shows a public transport stop shelter with signage, a bench, and a timetable, making it the most definitive depiction of the access point among the options.","Instalar ou reparar rampas de acesso para pessoas com mobilidade reduzida. Adicionar painel lateral transparente no abrigo para melhor proteção contra vento e chuva. Melhorar a demarcação do passeio e, se possível, criar rebaixamento na calçada. Considerar instalação de iluminação dedicada dentro do abrigo para maior segurança e conforto noturno.",56.95164075993091,77.46113989637306,86.96027633851469,73.79101899827289,,,,,,,,
bus_41.177205_-8.675709,bus,41.177205,-8.675709,4,41.177205_-8.675709_112_street.png,0.95,"Image 1 clearly shows a blue public transport stop pole with a sign and a trash bin next to it, which is a typical indicator of a bus stop. The other images do not show any clear public transport stop or access point.","Instalar um abrigo com painéis laterais de proteção e bancos para maior conforto. Implementar ou reparar ligações acessíveis para cadeiras de rodas, como rampas e pavimento mais regular. Priorizar a instalação de iluminação pública no local, já que não há postes visíveis. Melhorar a sinalização e manutenção da zona, removendo grafites e garantindo limpeza regular.",56.95164075993091,56.69257340241797,29.10189982728843,47.58203799654577,,,,,,,,
bus_41.177365_-8.677333,bus,41.177365,-8.677333,4,41.177365_-8.677333_174_street.png,0.95,"Image [1] clearly shows a blue pole with a sign, which is characteristic of a public transport stop (likely a bus stop). The other images do not show any clear public transport stop or access point.","Instalar um abrigo com painéis laterais transparentes e banco para maior conforto e proteção contra as intempéries. Garantir acessibilidade através de rebaixamento de passeio e/ou rampa, bem como pavimentação tátil para pessoas com deficiência visual. Adicionar uma faixa de segurança ou barreira física separando o passeio do tráfego. Reforçar a iluminação dedicada ao ponto de paragem para aumentar a segurança à noite. Melhorar a manutenção do espaço público, incluindo a remoção de grafites caso sejam considerados inapropriados.",36.26943005181347,33.54922279792746,29.10189982728843,32.97351755900979,,,,,,,,
bus_41.177632_-8.677242,bus,41.177632,-8.677242,4,41.177632_-8.677242_070_street.png,0.7,"Image 0 shows a green structure that resembles a public transport stop or ticketing machine, which is the closest indication of a public transport access point among the options. The other images do not show any clear public transport stop or related infrastructure.","Melhorar a acessibilidade para pessoas com mobilidade reduzida, garantindo passagens livres de automóveis e rebaixamento de passeio adequado. Instalar painéis laterais transparentes no abrigo para proteção contra o vento e a chuva. Adicionar bancos confortáveis para espera prolongada. Avaliar e reforçar a iluminação junto ao abrigo para maior segurança e conforto noturno.",36.26943005181347,33.54922279792746,61.61485319516407,43.811168681635,,,,,,,,
bus_41.177679_-8.656933,bus,41.177679,-8.656933,4,41.177679_-8.656933_339_street.png,0.98,"Image 3 clearly shows a bus stop pole with a sign and a ticketing machine, making it the most explicit depiction of a public transport stop/access point among the options.",Instalar abrigo com proteção lateral em vidro/policarbonato e bancos; garantir acesso rebaixado para cadeiras de rodas; avaliar e instalar iluminação pública próxima ao ponto; considerar a instalação de barreira/buffer de segurança junto à estrada para proteção de peões; sinalizar adequadamente e incluir passadeira nas proximidades.,36.26943005181347,33.54922279792746,29.10189982728843,32.97351755900979,,,,,,,,
