id,transport_type,name,lat,lon,operator,network,route_ref,shelter,bench,wheelchair,tactile_paving,covered,lit,departures_board,capacity,fee,payment,level,line,railway,amenity,rental,elevator,escalator,steps,entrance,accessibility_score,accessibility_level,accessibility_factors
"bus_('node', 122445127)",bus,Fonte do Cuco,41.1941624,-8.6559427,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 122445129)",bus,Senhora da Hora,41.1880759,-8.6545271,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 122448866)",bus,Esposade,41.2160221,-8.6545453,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 122514000)",bus,Estádio do Mar,41.1857281,-8.6612146,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 122514059)",bus,Câmara de Matosinhos,41.1806357,-8.6812543,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 122514062)",bus,Matosinhos Sul,41.1801059,-8.6885891,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 122579979)",bus,Mercado,41.1874588,-8.6934636,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 130217076)",bus,Fonte do Cuco,41.1941739,-8.6556553,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 130218788)",bus,Cândido dos Reis,41.2007066,-8.6497603,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 130219243)",bus,Custió,41.2223204,-8.6390054,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 278405078)",bus,FMAI,41.2043916,-8.6920804,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 280080436)",bus,Vasco da Gama,41.1902888,-8.6610289,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 280081500)",bus,Pedro Hispano,41.1803292,-8.6662377,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 280189310)",bus,Parque de Real,41.1790607,-8.6735805,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 280189593)",bus,Pias,41.2082183,-8.6471675,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 280189647)",bus,Araújo,41.2168878,-8.6410522,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 280267392)",bus,Custóias,41.200272,-8.6555611,Metro do Porto,,,,,yes,,,,,,,,,,,,,,,,,65,Regular,totalmente acessível para cadeirantes; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 292258217)",bus,PP2,41.2035943,-8.6144417,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 292783590)",bus,STN2,41.2123464,-8.6132946,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 292783599)",bus,TF2,41.2102544,-8.6133027,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 420774510)",bus,SM1,41.1963435,-8.6109571,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 434134928)",bus,E. S. Abel Salazar,41.1973361,-8.6054537,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 1169632763)",bus,Guifões,41.1999836,-8.6656595,STCP,Andante,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 1169665521)",bus,Sarilhos,41.1966168,-8.6694401,STCP,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 1169665532)",bus,Paus,41.1960002,-8.6735062,STCP,Andante,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 1169665533)",bus,Monte Castêlo,41.1971294,-8.6719465,STCP,,505,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 1169665548)",bus,Sarilhos,41.1965663,-8.6690498,STCP,Andante,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
