paragem_nome,gid_DMT,gid_AMP,Situação,Designaç,Designa_1,nome_oficial,Local,Freguesia,Linhas_STC,Linhas_UNI,Zona_Andan,longitude,latitude
Rua Antela,1,0,Ativa,Lavra (Junta de Freguesia),Lavra (Junta de Freguesia),Lavra (Junta de Freguesia),Rua Antela,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5101",MTS3,-8.71757765399509,41.259414148452464
Avenida Dr. Óscar Lopes,2,0,Ativa,Mar Shopping (IKEA),Mar Shopping - IKEA,Mar Shopping (IKEA),Avenida Dr. Óscar Lopes,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),601,"5002, 5003, 5013, 5018, 5101, 5102, 5103",MTS2,-8.689778753499244,41.20949256013632
Avenida Mário Moreira Maia,7,0,Ativa,Mar Shopping (Nascente),Mar Shopping Nascente,Mar Shopping (Nascente),Avenida Mário Moreira Maia,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),"507, 508",5009,MTS2,-8.685869496284287,41.20825388354124
Avenida Liberdade,3,0,Ativa,Praia de Leça,Praia de Leça,Praia de Leça,Avenida Liberdade,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.70436833688816,41.189311608794824
Avenida Liberdade,4,0,Ativa,Praia de Leça,Praia de Leça,Praia de Leça,Avenida Liberdade,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,"5002, 5017, 5102",MTS2,-8.704813009170195,41.18959330718378
Estrada Circunvalação,6,0,Ativa,Real,Real,Real,Estrada Circunvalação,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),205,5003,PRT2,-8.670737875997075,41.17607728010376
Rua Sobreiro,10,0,Ativa,Quatro Caminhos,Quatro Caminhos,Quatro Caminhos,Rua Sobreiro,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),503,"5010, 5011, 5017, 5103, 5104",PRT2,-8.651686837516012,41.18947608404916
Rua Sobreiro,11,0,Ativa,Quatro Caminhos,Quatro Caminhos,Quatro Caminhos,Rua Sobreiro,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),503,"5010, 5011, 5017, 5103, 5104",PRT2,-8.651682133082357,41.18971495299817
Avenida Conde,5,0,Ativa,Godinho Faria,Godinho Faria,Godinho Faria,Avenida Conde,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,"5010, 5011, 5104",MAI1,-8.611981561413112,41.193130838383176
Rua Laranjeiras,9,0,Ativa,Santos Dias,Santos Dias,Santos Dias,Rua Laranjeiras,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),604,N/A,MAI1,-8.607160755923095,41.198226150347054
Rua Padre Costa,12,0,Ativa,Cavadas,Cavadas,Cavadas,Rua Padre Costa,Sâo Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604",N/A,MAI1,-8.597217425498762,41.188659753445265
Avenida Engenheiro Duarte Pacheco,13,0,Ativa,Matosinhos (Mercado),Matosinhos (Mercado),Matosinhos (Mercado),Avenida Engenheiro Duarte Pacheco,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5003, 5008, 5010, 5011, 5015, 5016, 5017, 5103, 5104",MTS1,-8.693965315760694,41.18754046655109
Rua Araújo,17,0,Ativa,R. Estação do Araújo,R. Estação Araújo,R. Estação do Araújo,Rua Araújo,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M","5015, 5021",MAI1,-8.635925938984698,41.216876009373486
Rua Araújo,18,0,Ativa,R. Estação do Araújo,R. Estação Araújo,R. Estação do Araújo,Rua Araújo,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M","5015, 5021",MAI1,-8.635783380175607,41.21685377987047
Estrada Circunvalação,16,0,Ativa,Preciosa,Preciosa,Preciosa,Estrada Circunvalação,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),"205, 504",5003,PRT2,-8.656911460638595,41.177711626634995
Rua Padre Costa,14,0,Ativa,Cavadas,Cavadas,Cavadas,Rua Padre Costa,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 604, 705",N/A,MAI1,-8.59689856626949,41.18853212785615
Avenida D. Afonso Henriques,19,0,Ativa,Carcavelos,Carcavelos,Carcavelos,Avenida D. Afonso Henriques,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),"506, 507, 13M","5007, 5008, 5010, 5012, 5015, 5017, 5103",MTS1,-8.681862148471815,41.17961588469707
Avenida D. Afonso Henriques,15,0,Ativa,Av. D. Afonso Henriques,Matosinhos (CMM),Av. D. Afonso Henriques,Avenida D. Afonso Henriques,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),"506, 507, 13M","5007, 5008, 5011, 5012, 5015, 5104",MTS1,-8.68297417022041,41.181699376179466
Avenida Mário Brito,20,0,Ativa,Freixieiro (N107),Freixieiro,Freixieiro (N107),Avenida Mário Brito,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)","508, 601","5004, 5009, 5012, 5013, 5101, 5102",MTS2,-8.681327562136877,41.22599931692616
Rua Gondivai,21,0,Ativa,Gondivai (Norte),Gondivai (Norte),Gondivai (Norte),Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.634864287352702,41.21377039676746
Rua Gondivai,22,0,Ativa,Gondivai (Norte),Gondivai (Norte),Gondivai (Norte),Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M","5015, 5021",MAI1,-8.634864826077225,41.214060930187415
Avenida Combatentes da Grande Guerra,24,0,Ativa,Esc. Sec. Boa Nova,Esc. Sec. Boa Nova,Esc. Sec. Boa Nova,Avenida Combatentes da Grande Guerra,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),507,5001,MTS2,-8.700820099036513,41.19310678923998
Rua Passos Manuel,25,0,Ativa,Tv. Passos Manuel,Tv. Passos Manuel,Tv. Passos Manuel,Rua Passos Manuel,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)","503, 505","5004, 5005, 5014",MTS1,-8.662808516525152,41.19612462963463
Avenida Dr. António Macedo,26,0,Ativa,Rotunda da Exponor,Rotunda da Exponor,Rotunda da Exponor,Avenida Dr. António Macedo,Leça da Palmeira (União das freguesias de Matosinhos e Leça da Palmeira),601,N/A,MTS2,-8.69302019278156,41.20098033432538
Rua Padre António Francisco Ramos,27,0,Ativa,R. Padre António Francisco Ramos,R. Padre António Francisco Ramos,R. Padre António Francisco Ramos,Rua Padre António Francisco Ramos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5018, 5019, 5101",MTS3,-8.716297138465306,41.26574012316428
Rua Padre António Francisco Ramos,28,0,Ativa,R. dos Mourouços,R. dos Mourouços,R. dos Mourouços,Rua Padre António Francisco Ramos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5018, 5019, 5101",MTS3,-8.717174633761378,41.2629221595639
Rua Custió,29,0,Ativa,Ponte de Moreira,Ponte de Moreira,Ponte de Moreira,Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.645133732045714,41.235354093531534
Rua Custió,30,0,Ativa,Ponte de Moreira,Ponte de Moreira,Ponte de Moreira,Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.644243946473273,41.23539858733551
Largo Souto,31,0,Ativa,Custóias,Custóias,Custóias,Largo Souto,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.641607276566818,41.203071620316095
Largo Souto,32,0,Ativa,Custóias (Largo),Custóias,Custóias (Largo),Largo Souto,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,"5002, 5021",MAI1,-8.64258733639122,41.20277025676752
Largo Souto,33,0,Ativa,Custóias (Largo),Custóias,Custóias (Largo),Largo Souto,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)","505, 508","5002, 5021, 5102",MAI1,-8.642095184197673,41.20233423025525
Rua Cândido dos Reis,35,0,Ativa,Cândido dos Reis (Metro),Cândido Reis (Metro),Cândido dos Reis (Metro),Rua Cândido dos Reis,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,"5002, 5015, 5102",MAI1,-8.649804575615871,41.20117716830222
Rua Cândido dos Reis,34,0,Ativa,Cândido dos Reis (Metro),Cândido Reis (Metro),Cândido dos Reis (Metro),Rua Cândido dos Reis,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,"5002, 5015, 5102",MAI1,-8.64955570836077,41.20127936205088
Rua França Borges,36,0,Ativa,Est. Prisional Custóias,Est. Prisional Custóias,Est. Prisional Custóias,Rua França Borges,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.636607096046829,41.206490101566416
Rua Domingos Bomtempo,37,0,Ativa,Dr. Domingos Bontempo,Dr. Domingos Bontempo,Dr. Domingos Bontempo,Rua Domingos Bomtempo,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.638078715138983,41.204951476804666
Rua Domingos Bomtempo,38,0,Ativa,Dr. Domingos Bontempo,Dr. Domingos Bontempo,Dr. Domingos Bontempo,Rua Domingos Bomtempo,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.638111970912902,41.2047975029697
Rua António José de Almeida,39,0,Ativa,Pias (Metro),Pias (Metro),Pias (Metro),Rua António José de Almeida,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.647349914482747,41.20774094631288
Rua António José de Almeida,40,0,Ativa,Pias (Metro),Pias (Metro),Pias (Metro),Rua António José de Almeida,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",508,N/A,MAI1,-8.647263392821946,41.20766974155448
Rua Custió,41,0,Ativa,Custió (Metro),Custió (Metro) (site) / Pontelhas (postalete),Custió (Metro),Rua Custió,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.638814681692626,41.222359277771886
Rua Gondivai,43,0,Ativa,Bombeiros V. Leça do Balio,B. V. Leça do Balio,Bombeiros V. Leça do Balio,Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M","5015, 5023",MAI1,-8.633301983783793,41.21096723398389
Rua Gondivai,42,0,Ativa,Bombeiros V. Leça do Balio,B. V. Leça do Balio,Bombeiros V. Leça do Balio,Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","602, 3M",5015,MAI1,-8.63324696864301,41.21119684741998
Rua Gondivai,44,0,Ativa,Gondivai (Sul),Gondivai (Sul),Gondivai (Sul),Rua Gondivai,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","505, 602, 3M",5015,MAI1,-8.633120467956177,41.20804092597659
Rua Nova do Seixo,45,0,Ativa,Padrão da Légua,Padrão da Légua,Padrão da Légua,Rua Nova do Seixo,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)","508, 602, 3M","5002, 5015, 5017, 5103",MAI1,-8.633585477654014,41.191822110079684
Rua Padre António Francisco Ramos,46,0,Ativa,R. dos Mourouços,R. dos Mourouços,R. dos Mourouços,Rua Padre António Francisco Ramos,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5018, 5019, 5101",MTS3,-8.71746243474294,41.26257181671426
Rua Corgo,47,0,Ativa,Lavra (Cemitério),Lavra (Cemitério),Lavra (Cemitério),Rua Corgo,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5020",MTS3,-8.718137919035957,41.25806271086366
Rua Corgo,48,0,Ativa,Lavra (Cemitério),Lavra (Cemitério),Lavra (Cemitério),Rua Corgo,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5004, 5020",MTS3,-8.718136583992573,41.25820941896952
Rua Castanheiros,49,0,Ativa,R. dos Castanheiros,R. dos Castanheiros,R. dos Castanheiros,Rua Castanheiros,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5101",MTS3,-8.711635117256142,41.25642575896311
Rua Castanheiros,50,0,Ativa,R. dos Castanheiros,R. dos Castanheiros,R. dos Castanheiros,Rua Castanheiros,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5101",MTS3,-8.711377119969745,41.25614118246236
Rua Castanheiros,51,0,Ativa,Rua da Brévia,Rua da Brévia,Rua da Brévia,Rua Castanheiros,"Lavra (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,"5001, 5004, 5101",MTS3,-8.7093555986445,41.2544478405096
